X,dna_part_prom_forward_part_rbs_forward_part_YFP_forward_part_t_forward_,protein_YFP_degtagged,rna_part_rbs_forward_part_YFP_forward_part_t_forward_,time
1.0,1.0,0.0,0.0,
1.0,1.0,0.0,0.0,10.0
1.0,1.0,0.0,0.0,20.0
1.2855778085873146,1.0,0.0,1.0,30.0
2.119431273204844,1.2855778085873146,4.0,5.0,40.0
3.4905220039562423,2.119431273204844,18.0,8.0,50.0
5.73849891190896,3.4905220039562423,20.0,5.0,60.0
9.406844918445222,5.73849891190896,52.0,16.0,70.0
15.347228156976962,9.406844918445222,131.0,30.0,80.0
24.848369752455454,15.347228156976962,228.0,54.0,90.0
39.74769936520031,24.848369752455454,402.0,97.0,100.0
62.404172911516866,39.74769936520031,793.0,161.0,110.0
95.28079635347287,62.404172911516866,1321.0,272.0,120.0
139.8406165730084,95.28079635347287,2195.0,436.0,130.0
195.15515467126372,139.8406165730084,3461.0,623.0,140.0
256.7118225827539,195.15515467126372,4899.0,910.0,150.0
317.38004199257233,256.7118225827539,6962.0,1247.0,160.0
370.37771753793527,317.38004199257233,9362.0,1528.0,170.0
412.0001198491226,370.37771753793527,11308.0,1845.0,180.0
442.24353089788565,412.0001198491226,13015.0,2037.0,190.0
462.8726951160267,442.24353089788565,14044.0,2184.0,200.0
476.3721487301344,462.8726951160267,15456.0,2432.0,210.0
484.96672207123896,476.3721487301344,15480.0,2346.0,220.0
490.3621744160317,484.96672207123896,15703.0,2376.0,230.0
493.7052539225453,490.3621744160317,16071.0,2481.0,240.0
495.87231754466154,493.7052539225453,16592.0,2516.0,250.0
497.28020776318806,495.87231754466154,16734.0,2480.0,260.0
498.2787215192376,497.28020776318806,16635.0,2510.0,270.0
498.9132128454178,498.2787215192376,16530.0,2571.0,280.0
499.3154585131007,498.9132128454178,16965.0,2550.0,290.0
499.5699303704115,499.3154585131007,16749.0,2521.0,300.0
499.73057784068845,499.5699303704115,16895.0,2612.0,310.0
499.83156126308074,499.73057784068845,16717.0,2527.0,320.0
499.8947062881256,499.83156126308074,16760.0,2499.0,330.0
499.9341838089484,499.8947062881256,16622.0,2482.0,340.0
499.9588619027496,499.9341838089484,16712.0,2498.0,350.0
499.97428752579356,499.9588619027496,16815.0,2660.0,360.0
499.9839292491081,499.97428752579356,16732.0,2536.0,370.0
499.9899556031362,499.9839292491081,16795.0,2593.0,380.0
499.9937221825992,499.9899556031362,16522.0,2468.0,390.0
499.9960763370296,499.9937221825992,16958.0,2585.0,400.0
499.99754770005944,499.9960763370296,16305.0,2517.0,410.0
499.99846730840267,499.99754770005944,16513.0,2452.0,420.0
499.99904206613667,499.99846730840267,16702.0,2429.0,430.0
499.99940129070455,499.99904206613667,16795.0,2530.0,440.0
499.99962580644393,499.99940129070455,16467.0,2517.0,450.0
499.9997661289312,499.99962580644393,16881.0,2554.0,460.0
499.9998538305444,499.9997661289312,16529.0,2552.0,470.0
499.99990864407556,499.9998538305444,16369.0,2550.0,480.0
499.9999429025415,499.99990864407556,16624.0,2489.0,490.0
499.9999643140862,499.9999429025415,16940.0,2595.0,500.0
