X,dna_part_prom_forward_part_rbs_forward_part_YFP_forward_part_t_forward_,protein_YFP_degtagged,rna_part_rbs_forward_part_YFP_forward_part_t_forward_,time
1.0,1.0,0.0,0.0,
1.0,1.0,0.15326014659395668,0.4760133853138748,10.0
1.0,1.0,0.5743064130747044,0.9070972580725056,20.0
1.2855778085873146,1.0,1.2112223156738462,1.2974923836914805,30.0
2.119431273204844,1.2855778085873146,2.0632738793352097,1.7869781127410262,40.0
3.4905220039562423,2.119431273204844,3.252939626559922,2.62718812095121,50.0
5.73849891190896,3.4905220039562423,5.038651980727074,4.040750700263303,60.0
9.406844918445222,5.73849891190896,7.838512671121036,6.390958334350394,70.0
15.347228156976962,9.406844918445222,12.329868401172424,10.265518535137058,80.0
24.848369752455454,15.347228156976962,19.60514076243711,16.602072250132714,90.0
39.74769936520031,24.848369752455454,31.40712419182019,26.863207741611788,100.0
62.404172911516866,39.74769936520031,50.46296158019548,43.24810495013981,110.0
95.28079635347287,62.404172911516866,80.90792535790699,68.87126423573488,120.0
139.8406165730084,95.28079635347287,128.71119377087768,107.7256411705119,130.0
195.15515467126372,139.8406165730084,201.87037956436114,164.1237378076438,140.0
256.7118225827539,195.15515467126372,310.04302129826203,241.52904333373417,150.0
317.38004199257233,256.7118225827539,463.33718494076373,340.9300859637406,160.0
370.37771753793527,317.38004199257233,670.4001790012188,459.8278389587309,170.0
412.0001198491226,370.37771753793527,936.5418955316264,592.7307833522386,180.0
442.24353089788565,412.0001198491226,1262.7470607859607,732.9022277758198,190.0
462.8726951160267,442.24353089788565,1645.9123917249067,874.2395649443947,200.0
476.3721487301344,462.8726951160267,2079.8794061074914,1012.0562411210556,210.0
484.96672207123896,476.3721487301344,2556.672806036705,1143.290723424271,220.0
490.3621744160317,484.96672207123896,3067.5957008374935,1266.2294969569962,230.0
493.7052539225453,490.3621744160317,3604.0174705280165,1380.132745154112,240.0
495.87231754466154,493.7052539225453,4157.8591920792205,1484.8763478196265,250.0
497.28020776318806,495.87231754466154,4721.865202551244,1580.765057709823,260.0
498.2787215192376,497.28020776318806,5289.709267192882,1668.2732855069569,270.0
498.9132128454178,498.2787215192376,5855.997185338258,1747.9971710905345,280.0
499.3154585131007,498.9132128454178,6416.204331975077,1820.4981754118587,290.0
499.5699303704115,499.3154585131007,6966.586297636415,1886.3474845897808,300.0
499.73057784068845,499.5699303704115,7504.103624091213,1946.1025997257736,310.0
499.83156126308074,499.73057784068845,8026.342632942189,2000.2940729939185,320.0
499.8947062881256,499.83156126308074,8531.437341175848,2049.4186306978527,330.0
499.9341838089484,499.8947062881256,9017.995633638913,2093.936525944227,340.0
499.9588619027496,499.9341838089484,9485.032007273503,2134.2712946438523,350.0
499.97428752579356,499.9588619027496,9931.906409546647,2170.8107267875657,360.0
499.9839292491081,499.97428752579356,10358.270011018389,2203.9086478208023,370.0
499.9899556031362,499.9839292491081,10764.017232864262,2233.887138451327,380.0
499.9937221825992,499.9899556031362,11149.243790936374,2261.038928319206,390.0
499.9960763370296,499.9937221825992,11514.21013357169,2285.629728118514,400.0
499.99754770005944,499.9960763370296,11859.30978479224,2307.9005964236803,410.0
499.99846730840267,499.99754770005944,12185.042179333654,2328.0700828913614,420.0
499.99904206613667,499.99846730840267,12491.989238574779,2346.3362684556128,430.0
499.99940129070455,499.99904206613667,12780.7954426086,2362.8786361325087,440.0
499.99962580644393,499.99940129070455,13052.150801934435,2377.8597704176846,450.0
499.9997661289312,499.99962580644393,13306.776876698565,2391.427007890737,460.0
499.9998538305444,499.9997661289312,13545.414226503026,2403.713741804806,470.0
499.99990864407556,499.9998538305444,13768.812693942476,2414.8408089362943,480.0
499.9999429025415,499.99990864407556,13977.723006443342,2424.917651335189,490.0
499.9999643140862,499.9999429025415,14172.889927804452,2434.0433869604,500.0
499.999977696303,499.9999643140862,14355.046698711856,2442.3077819529713,510.0
499.99998606018903,499.999977696303,14524.91057876401,2449.792131959575,520.0
499.999991287618,499.99998606018903,14683.179332149319,2456.57006081909,530.0
499.9999945547612,499.999991287618,14830.528518878305,2462.7082441942334,540.0
499.99999659672574,499.9999945547612,14967.609470281288,2468.2670649631514,550.0
499.9999978729536,499.99999659672574,15095.047844447048,2473.301206964272,560.0
499.99999867059597,499.9999978729536,15213.442670116427,2477.860192782893,570.0
499.9999991691225,499.99999867059597,15323.365808063834,2481.9888715058933,580.0
499.99999948070155,499.9999991691225,15425.361729148122,2485.7278584838036,590.0
